recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-09-10 Di. 06:00 ,2019-09-01143,48.0,73.0,61.7,0.0,10.7,32.0,130,165,,1.4,8.4,11.2,19.0,22.8,27.9,0.2,0.6,65.9,0.80,4.09,3.63,0.52,0.20,0.027,0.22,0.06,,,,0.53,61.3,15.5,2.2,4.2,6.9,1.2,0.2,
2019-09-09 Mo. 07:00 ,2019-09-01000,52.0,76.5,61.3,0.0,11.1,32.0,135,170,,1.5,8.5,11.2,18.3,21.7,26.4,1.0,2.3,64.5,0.88,4.08,3.59,0.54,0.21,0.056,0.22,0.06,,,,0.56,61.1,14.8,2.4,3.9,7.0,1.6,1.1,
2019-09-06 Fr. 07:00 ,2019-09-00697,51.5,76.3,,,,,,,,1.5,8.7,11.3,18.3,21.6,26.2,,,64.5,0.85,4.08,3.66,0.55,0.22,0.057,0.22,0.06,,,,0.58,61.2,14.4,2.0,4.5,7.4,0.8,0.9,
2019-09-05 Do. 07:00 ,2019-09-00538,49.1,72.2,61.6,0.0,10.7,32.5,145,175,0.5,1.4,8.0,10.9,18.6,23.0,29.5,0.3,0.7,64.7,0.88,4.14,3.54,0.51,0.20,0.027,0.23,0.06,,,,0.54,62.2,15.4,2.1,4.1,8.0,0.9,0.2,
2019-09-03 Di. 07:00 ,2019-09-00263,49.2,72.9,62.4,0.0,11.0,32.5,135,165,1.0,1.5,8.4,11.2,19.1,23.0,28.4,0.3,0.7,65.1,0.83,4.23,3.67,0.51,0.22,0.019,0.22,0.06,,,,0.55,61.2,15.0,2.2,4.3,7.5,1.2,0.4,
2019-09-02 Mo. 07:00 ,2019-09-00116,51.5,79.8,61.6,0.1,11.4,32.5,140,170,0.5,1.5,8.4,11.0,18.0,21.4,26.0,0.9,2.0,64.4,0.86,4.10,3.61,0.59,0.23,0.077,0.22,0.06,,,,0.61,61.6,14.7,1.7,4.7,7.4,1.1,1.1,
2019-08-30 Fr. 12:00 ,2019-08-03420,,,,,,,,,,1.5,8.7,11.3,18.6,22.0,26.9,,,64.2,0.94,4.12,3.54,0.52,0.22,0.036,0.21,0.06,,,,0.57,61.2,15.1,2.5,4.1,7.0,1.5,0.9,
2019-08-30 Fr. 06:00 ,2019-08-03391,,,,,,,,,,1.5,8.8,11.4,18.5,21.8,26.6,,,64.8,0.98,4.19,3.62,0.53,0.23,0.034,0.22,0.06,,,,0.58,60.7,15.9,2.5,3.9,7.2,1.1,0.7,
2019-08-29 Do. 08:00 ,2019-08-03293,,,,,,,,,,1.5,8.7,11.4,18.8,22.4,27.4,,,64.4,0.87,4.13,3.63,0.54,0.21,0.046,0.22,0.06,,,,0.57,59.9,15.6,2.1,4.3,7.0,1.3,1.6,
2019-08-29 Do. 06:00 ,2019-08-03262,49.3,72.0,61.5,0.0,11.5,32.5,140,170,1.0,1.4,8.1,10.9,18.2,22.1,27.6,0.3,0.8,64.7,0.92,4.20,3.69,0.53,0.21,0.036,0.23,0.06,,,,0.55,61.3,15.5,2.3,4.0,7.4,0.9,0.2,
