recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-06-04 Di. 06:00 ,2019-06-00349,50.6,73.0,62.1,0.0,11.1,32.5,110,150,1.0,1.4,8.0,10.8,18.5,22.4,27.8,0.3,0.6,64.8,1.02,4.36,3.69,0.53,0.25,0.056,0.22,0.06,,,,0.60,60.9,16.3,1.8,5.4,7.2,1.0,0.1,
2019-06-03 Mo. 06:00 ,2019-06-00190,49.8,76.1,61.2,0.1,11.1,33.0,125,165,1.0,1.4,8.5,11.2,18.4,21.9,26.6,0.8,1.8,65.0,1.06,4.32,3.55,0.52,0.24,0.040,0.22,0.06,,,,0.58,64.0,11.9,2.0,5.1,7.0,1.1,0.7,
2019-05-31 Fr. 05:00 ,2019-05-03797,49.5,69.3,61.2,0.1,11.7,33.0,120,155,0.5,1.5,8.2,11.0,18.4,22.7,29.1,0.5,1.2,64.9,1.16,4.35,3.67,0.50,0.22,0.034,0.22,0.06,,,,0.55,62.7,13.9,1.3,5.9,7.0,0.9,0.1,
2019-05-28 Di. 08:00 ,2019-05-03365,48.7,73.1,61.8,0.0,10.8,33.0,120,155,1.0,1.4,8.1,10.8,18.3,22.0,27.2,0.3,0.8,65.7,1.14,4.31,3.63,0.52,0.23,0.055,0.23,0.06,,,,0.57,59.6,17.7,1.8,4.8,6.9,1.4,0.0,
2019-05-27 Mo. 08:00 ,2019-05-03216,50.5,74.8,61.6,0.0,10.8,32.5,135,170,1.5,1.4,8.3,10.9,18.0,21.6,26.8,1.0,2.3,64.9,1.14,4.24,3.56,0.55,0.24,0.069,0.21,0.06,,,,0.60,60.7,15.3,1.9,4.9,6.6,1.4,1.0,
2019-05-23 Do. 09:00 ,2019-05-02742,47.2,69.8,61.1,0.0,11.1,33.0,125,150,2.0,1.4,8.2,10.9,18.4,22.4,28.4,0.4,0.9,64.4,1.15,4.35,3.54,0.53,0.22,0.033,0.22,0.06,,,,0.57,61.3,15.9,1.3,5.8,7.0,1.2,0.0,
2019-05-21 Di. 08:00 ,2019-05-02469,48.6,73.3,61.5,0.0,10.6,33.0,130,160,1.2,1.4,8.0,10.7,18.1,21.8,27.0,0.4,1.0,65.1,1.15,4.25,3.63,0.52,0.22,0.045,0.22,0.06,,,,0.56,59.9,17.5,1.6,4.7,7.5,1.2,0.0,
2019-05-20 Mo. 11:00 ,2019-05-02331,50.8,76.2,60.2,0.1,11.0,32.5,125,155,0.0,1.4,8.4,11.0,18.2,21.6,26.5,0.8,1.8,64.5,1.07,4.25,3.72,0.52,0.23,0.037,0.22,0.06,,,,0.58,60.3,16.0,2.3,4.1,7.5,1.5,0.7,
2019-05-16 Do. 07:00 ,2019-05-01857,48.9,69.5,,,,32.5,125,155,1.0,1.4,8.2,11.1,19.0,23.4,30.1,,,64.8,1.15,4.38,3.58,0.53,0.23,0.034,0.22,0.06,,,,0.57,59.9,17.4,1.4,5.4,7.2,1.6,0.0,
2019-05-14 Di. 07:00 ,2019-05-01654,49.5,71.1,61.8,0.0,10.6,33.0,110,150,2.0,1.3,7.9,10.7,18.4,22.2,27.7,0.4,0.9,64.6,1.31,4.36,3.55,0.52,0.23,0.046,0.22,0.06,,,,0.57,59.8,17.8,2.5,3.9,7.6,1.4,0.1,
2019-05-13 Mo. 09:00 ,2019-05-01549,50.8,72.3,60.1,0.0,9.7,32.5,115,150,2.0,1.4,8.3,11.0,18.1,21.6,26.6,0.6,1.2,67.9,1.49,4.45,3.51,0.53,0.26,0.038,0.23,0.06,,,,0.60,62.7,14.2,2.2,3.5,8.0,0.8,0.4,
2019-05-09 Do. 05:00 ,2019-05-01090,48.4,70.0,59.7,0.0,10.4,32.5,130,155,1.5,1.4,8.3,11.2,19.0,23.3,29.8,0.3,0.7,65.2,1.36,4.30,3.61,0.53,0.23,0.035,0.22,0.06,,,,0.58,62.4,15.2,1.6,4.2,8.3,1.3,0.1,
2019-05-07 Di. 06:00 ,2019-05-00791,47.9,72.8,61.0,0.0,9.5,32.5,130,165,1.8,1.3,7.8,10.6,18.2,21.9,27.1,0.2,0.5,64.4,1.63,4.27,3.59,0.54,0.24,0.048,0.22,0.06,,,,0.59,64.0,13.8,1.8,3.3,8.7,1.0,0.0,
2019-05-06 Mo. 06:00 ,2019-05-00631,48.9,70.9,60.4,0.0,10.7,33.0,125,160,2.0,1.4,8.4,11.3,19.1,23.6,31.0,0.5,1.1,64.8,1.30,4.24,3.61,0.51,0.23,0.028,0.22,0.06,,,,0.56,63.8,13.3,1.7,4.8,7.8,1.5,0.1,
2019-05-02 Do. 05:00 ,2019-05-00158,48.9,71.6,60.0,0.0,10.8,33.0,125,155,,1.4,8.7,11.5,19.6,23.6,29.6,0.5,1.1,64.6,1.41,4.34,3.64,0.53,0.23,0.037,0.22,0.06,,,,0.58,62.8,14.6,1.5,5.0,7.5,1.5,0.0,
2019-04-29 Mo. 05:00 ,2019-04-03634,50.0,74.6,60.5,0.0,9.7,33.0,145,180,2.3,1.4,8.5,11.2,18.6,22.5,28.1,0.6,1.4,66.2,1.49,4.36,3.62,0.53,0.25,0.039,0.22,0.06,,,,0.59,61.8,14.2,1.8,3.6,8.1,1.1,0.4,
2019-04-25 Do. 09:00 ,2019-04-03247,49.3,72.2,60.8,0.0,10.0,33.0,125,150,1.3,1.4,8.1,10.9,18.9,23.1,29.4,0.3,0.7,65.2,1.49,4.29,3.71,0.54,0.23,0.040,0.21,0.06,,,,0.58,61.8,15.4,2.1,3.5,7.9,1.4,0.0,
2019-04-25 Do. 09:00 ,2019-04-03265,,,,,,,,,,1.4,8.4,11.4,19.7,24.2,31.6,,,64.0,1.32,4.09,5.51,0.50,0.22,0.043,0.20,0.05,,,,0.54,62.1,12.2,1.3,4.5,7.5,1.4,0.0,
2019-04-25 Do. 09:00 ,2019-04-03267,,,,,,,,,,1.4,8.0,10.9,18.9,23.1,29.0,,,63.8,1.30,4.10,5.54,0.50,0.22,0.042,0.20,0.05,,,,0.54,62.2,12.1,1.6,4.0,7.4,1.4,0.0,
2019-04-25 Do. 09:00 ,2019-04-03266,,,,,,,,,,1.4,8.4,11.4,19.7,24.2,31.5,,,63.8,1.31,4.08,5.51,0.49,0.22,0.043,0.20,0.05,,,,0.54,61.7,12.3,1.9,4.2,7.1,1.5,0.1,
2019-04-23 Di. 06:00 ,2019-04-02955,47.1,72.8,60.5,0.0,9.1,33.0,130,155,1.5,1.4,8.1,11.0,19.0,23.2,29.1,0.2,0.6,64.6,1.66,4.35,3.46,0.52,0.24,0.043,0.22,0.06,,,,0.58,64.4,12.6,2.4,2.6,9.6,1.2,0.0,
