recorded-at, sample-id, comp. str. 2d, comp. str. 7d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-06-13 Do. 08:00 ,2019-06-01491,14.9,34.7,61.9,70.0,0.1,8.7,28.5,205,240,0.5,1.7,11.7,16.6,30.7,38.8,50.0,0.3,0.8,50.4,3.91,7.34,3.53,0.89,0.27,0.306,0.42,0.15,0.60,58.1,61.5,0.86,23.7,5.3,0.5,2.3,3.0,0.6,0.5,58.7
2019-06-11 Di. 07:00 ,2019-06-01194,14.3,35.5,59.6,71.4,0.0,8.8,28.5,170,210,,1.7,11.6,16.6,31.0,39.4,51.7,0.3,0.7,48.7,4.22,7.67,3.33,0.61,0.26,0.082,0.44,0.18,0.72,63.7,67.3,0.67,21.0,4.5,0.5,2.0,2.7,0.4,0.2,63.1
2019-06-11 Di. 07:00 ,2019-06-01191,13.2,36.8,58.0,70.7,0.0,8.8,28.5,200,240,,1.7,11.8,16.8,30.7,38.8,49.9,0.3,0.8,48.7,4.15,7.51,3.50,0.60,0.25,0.075,0.44,0.18,0.73,63.2,66.9,0.65,20.1,4.2,0.4,2.0,2.4,0.4,1.4,63.6
2019-06-06 Do. 06:00 ,2019-06-00658,14.0,37.3,59.9,70.6,0.0,8.5,28.5,205,240,1.0,1.7,12.3,17.5,32.5,41.0,53.8,0.3,0.6,49.5,4.22,7.65,3.69,0.63,0.26,0.098,0.45,0.18,0.74,62.2,66.1,0.68,20.3,4.7,0.5,1.7,2.9,0.4,0.5,63.0
2019-06-04 Di. 06:00 ,2019-06-00364,14.4,38.9,61.0,69.3,0.0,8.9,28.5,200,240,0.5,1.7,11.6,16.5,30.3,38.9,51.4,0.8,1.7,49.0,4.18,7.64,3.55,0.61,0.27,0.101,0.44,0.18,0.75,62.9,66.7,0.67,21.0,3.8,0.6,2.2,2.2,0.4,1.3,62.6
2019-06-03 Mo. 06:00 ,2019-06-00203,12.7,35.1,57.3,71.4,0.0,8.4,28.5,190,230,0.5,1.7,11.3,15.7,28.2,34.9,44.3,0.3,0.7,51.4,4.51,7.98,3.79,0.57,0.26,0.070,0.47,0.17,0.70,60.1,64.0,0.63,19.5,4.3,0.5,1.8,3.0,0.5,0.4,63.7
2019-05-31 Fr. 06:00 ,2019-05-03807,12.4,38.5,57.2,70.4,0.0,8.5,28.0,215,245,,1.7,12.4,18.9,36.8,49.7,73.9,0.6,1.2,49.3,4.54,7.90,3.30,0.56,0.25,0.059,0.44,0.17,0.66,64.5,68.1,0.61,20.5,3.6,0.7,1.5,2.3,0.3,0.7,65.5
2019-05-28 Di. 08:00 ,2019-05-03379,12.5,38.4,58.9,71.9,0.0,8.6,28.0,180,220,,1.7,11.7,16.8,31.5,39.9,51.6,0.5,1.2,48.6,4.14,7.57,3.81,0.57,0.25,0.064,0.44,0.17,0.75,63.5,67.6,0.62,20.1,5.4,0.5,2.2,2.1,0.5,1.2,62.0
2019-05-27 Mo. 08:00 ,2019-05-03228,13.2,39.8,57.7,72.0,0.0,8.6,28.0,165,210,,1.6,11.6,16.8,32.1,40.9,55.0,0.6,1.4,51.1,4.36,7.88,3.93,0.58,0.26,0.075,0.46,0.17,0.70,59.7,63.7,0.64,18.9,5.2,0.3,2.3,2.0,0.7,1.1,62.8
2019-05-23 Do. 09:00 ,2019-05-02752,12.9,38.2,55.0,71.0,0.0,7.9,28.0,215,275,0.5,1.6,11.5,16.8,32.3,41.8,55.9,0.4,0.9,49.3,4.32,7.73,3.81,0.56,0.24,0.060,0.44,0.18,0.74,63.2,67.3,0.61,20.1,4.9,0.6,1.3,3.0,0.3,0.7,63.5
